# GimmeMotifs version 0.17.1
# Input: Strong.fasta
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11
 StrongFlank_168	-0.390988	2.899515	0.838143	0.648162	-0.058160	1.035500	2.327105	1.710713	1.114847	0.457975	0.859759
 StrongFlank_169	0.636913	-0.260562	0.215535	0.826515	-0.511517	-0.671324	0.117477	-0.945875	-0.983044	0.989583	0.613684
 StrongFlank_170	-0.334835	2.633515	2.026284	3.464042	-0.344775	-1.083827	2.598147	-0.370636	-0.974043	-0.197877	1.225046
 StrongFlank_171	0.886588	2.064571	-0.621923	-0.114222	-1.418007	-0.879174	0.020471	0.665867	1.053032	1.187017	-0.149312
 StrongFlank_172	1.210622	0.733785	0.860696	-0.044540	-0.837946	0.974809	1.909767	-1.261731	0.017310	-0.090747	-0.578523
 StrongFlank_173	0.092789	-0.710277	0.036804	3.329979	0.012196	0.961958	0.479664	-1.667893	1.053032	0.686114	-0.253732
 StrongFlank_174	6.346347	-0.131065	1.835580	-0.578857	0.189252	0.676843	1.799990	4.451385	-0.129701	1.967927	0.870381
 StrongFlank_175	0.465789	-0.387933	0.003218	-1.767441	-0.142849	0.661048	1.350786	-0.638315	-0.974043	-0.808647	0.423354
 StrongFlank_176	0.380991	-0.494802	-0.640757	4.152029	2.199167	1.010299	-1.041812	-0.174919	-1.163869	0.630536	-0.595860
 StrongFlank_177	0.202146	-0.257232	0.564148	-1.171204	-0.186238	-1.295883	0.047439	-1.177618	0.095834	0.442203	0.767783
 StrongFlank_178	-0.085859	0.055326	0.073439	0.924769	-0.364408	1.023740	-0.140315	0.200370	1.053032	1.090831	-0.358153
 StrongFlank_179	0.921682	1.718650	0.220189	-1.025822	1.058360	1.070249	-0.123633	-0.746900	-0.949626	-1.635040	-0.149312
 StrongFlank_180	1.764317	-1.332536	-0.618832	-0.834967	-1.451504	-0.828478	-0.328728	-0.379134	1.188007	1.263921	1.713252
 StrongFlank_181	0.921682	2.590650	0.066739	0.407221	-0.480605	0.656145	1.120263	-0.302682	-1.084601	-0.766976	1.399991
 StrongFlank_182	0.385543	-0.345543	-0.777127	0.128125	-0.494056	-0.562396	-0.956772	-0.451908	1.284627	0.024136	-0.294990
 StrongFlank_183	1.178837	0.908881	2.451003	3.716602	3.832139	0.671695	2.361902	-0.410503	0.083566	0.464578	-0.004688
 StrongFlank_184	-0.197299	-1.835473	-0.668346	-0.432642	0.621842	-0.833217	-1.358061	4.626451	-0.982138	0.081426	0.778078
 StrongFlank_185	0.568702	0.290607	-0.550950	1.079072	0.164889	0.967090	0.918814	0.195493	-0.095878	1.062205	1.371353
 StrongFlank_186	0.509619	2.687309	2.401231	4.536465	3.698017	1.255221	0.205649	0.036726	-0.095878	-0.576457	-1.193462
 StrongFlank_187	1.256803	1.876805	0.287848	-0.704331	-0.358102	1.131615	0.468375	-0.822875	1.193496	0.337329	0.531419
 StrongFlank_188	0.519891	1.870582	0.910017	1.258694	1.753694	-0.564864	2.654680	1.365283	-0.701009	-0.558807	0.068490
 StrongFlank_189	-0.154992	-1.093395	-1.601939	0.737513	-0.692548	-0.694354	1.544775	0.560092	1.284627	-0.952672	0.613684
 StrongFlank_190	0.649906	-1.513802	0.108235	-0.410153	1.466407	1.248901	-1.176027	-0.916733	-1.084601	-0.206367	0.625340
 StrongFlank_191	-0.576196	0.259189	2.149728	0.808688	-0.022108	1.192379	3.194359	1.513631	0.178158	-1.002140	-0.486404
 StrongFlank_192	0.356266	0.368883	0.599904	-0.426214	-0.881326	-0.951430	-0.079102	1.400048	0.315022	2.324343	-0.378339
